St. Mount Convent School ,Indian Oil Corporation (IOC) Road Sipara Patna -20,800020,
St. Ravindra Bharti Residential School,IOC Road Sipara Patna 20,800020,
Mother Teresa High school,IOC Road Sipara Patna 20,800020,
Red Rose High School,"Pragati Nagar, Sipara, Patna",800020,
R.N.T High School  ,Shanti Path Chandpur Bela Patna-1,800001,
Little Nest Convent High School,"DVC chawak (gate), Near Smriti appartment, Jakkan Pur, Patna",800001,School
Bal Vatika High School,"Ram Lakhan Mahoto Flat, Old Jakkan Pur P-1",800001,School
Sun Rise Public School ,"Ram Lakhan Mahato, Old Jakkan Pur , Patna ",800001,School
Annie Besant Res.School,"Ram Jatan Singh Lane, Jakkanpur Patna-1",800001,
Model Saraswati English Academy ,Vishnupuri chitkohra anishabad patna (near Holy land School),800002,School
Gyan vigyan school,A\63 alka puri gardnibagh patna,800002,School
Thomas hardy english academy,Jagat seel bhawan A\64 alka puri patna,800002,School
S.D.R.Public School,"New Alkapuri,  Patna",800002,School
Radha devi madhya Vidyalaya,Sadhanapuri saristabad west tola patna,800002,School
R.L. English Academy,"New Yar Pur Road No -1,(Kailash bhawan) P-1",800001,
New kalika accademy,"Naya Tola, Saristabad, (Near Kailash Bhawan), Patna",800002,School
G.V.N.Public School,"Sarista Bad P-1, Jakkan Pur, Gardanibagh (near Durga Mandir)",800001,School
M.G.Public School ,"Sarista Bad, Gardanibagh, Jakkan Pur , (Near Durga mAndir)",800001,School
Ashoka Public School,"Kailash Bhawan, Near Durga mAndir, Saristabad, Patna",800002,
S.M Convent School ,"Narayanan ,Nagar Balmi Chak Patna-2 (near devi mandir road)",800002,
S.A.V Public School,"Mitra Mandal Colony, (near Khushi Homeo Clinic)  Anisabad, Patna",800002,
Cresent Sainik Academy,"Haroon Nagar, Near choti Masjid, Anisabad - Phulwari Sharif, Patna",800002,School
Holy Trinity school ,"Haroon Nagar, Near Choti Masjid Sector 2, Fulawri sarif, Anisabad patna",800002,School
Adharsila Public School,"Malahi Pakari Chowk K.Bagh ,Patna-20",800020,
New Era Public School,"M.I.G.-237,Lohia Nagar K.Bagh,Patna",800020,
Nazarath Acadamy ,"16cc,Pc Colony,K.Bagh Patna 20",800020,
R.P.S. School,"J/11, Near J Sector, Main Road Ashok NAgar Patna",800020,School
Bharati Niketan School ,"Ashok Nager ,Road no-14B K.Bagh Patna",800020,
Vikash Vidayalaya ,14/14East Ashok Nagar K.Bagh P-20,800020,School
R.K.Misson School ,Ashok Nagar Road no 11 K.Bagh P-20,800020,School
Patna St. Xavier's school,"Ashok nagar,k.bagh patna (near Dwarka College)",800020,
Kiddy Learning School,"Ashok Nager Road No-14, (Near Dwarka College - New Bypass)",800020,
Tinny Tot Academy ,K.Bagh Patna-20,800020,
Watsalaya School,"PC Colony ,K.Bagh ,Patna-20",800020,
St. Paul's international school,"MIG 41, lohihnagar kankerbagh patna",800020,School
M.D.S.International School,"B/135, Between Panch Shiv Mandir and shalimar sweets,Main Road Kankar Bagh, Patna",0,
Lohiya Nagar Mount Carmel,A/14 opp-punch shiv mandir kankarbagh patna,800020,School
St. Micheal's High School (Central),"A-16,Housing Colony,K.Bagh.",0,
S.V.D Memorial English School,"A-44,K.Bagh Housing Colony",800020,
Ideal Children High School,"A-56,Housing Colony,K.Bagh Patna",800020,
Tiny heart high school ,A\133 housing colony kankerbagh patna,800020,School
St. Anns English School,"A-136,Housing Colony,K.Bagh Patna ",800020,
H.S Public School ,"C-22,Housing colony K.Bagh",800020,
J.D public school,C/46 housing colony kankarbagh patna,800020,School
St. Mathew High School,"D-160,Pc Colony,K.Bagh Patna",800020,
Mary Mount High School,"D-125&126,Pc Colony,K.Bagh Patna",800020,
Rotary Public High School,"D-76,Pc Colony,K.Bagh Patna",800020,
Crescent Acadmy,"E-31,Pc Colony,K.Bagh Patna",800020,
Sarswati Vidhya Mandir,"F-198,PC Colony,K.Bagh Patna",800020,
Desire Public School,"F-169,Pc colony,K.Bagh Patna",800020,
St. Mary's Mission school,"R.M.s colony,K.Bagh Patna",800020,
St. Mark Residensial Public School,"R.M.s colony,K.Bagh Patna",800020,
Residesial Gyandeep Public School,"R.M.S Colony, NearP.o, K.Bagh Patna",800020,
Green Garden Public School (Residential),"R.M.s colony,K.Bagh Patna (near New Bypass)",800020,
National Kids Paradise,"East Indra Nagar, Road No 2(Opp R.m.S Colony) K.Bagh patna",800020,
Residential Patna public high school,"East Indra Nagar, Road No. 5, Kankerbagh, patna",800001,School
Rose International Public School,East Indira Nagar RoadNo-4 K.Bagh Patna,800020,
M.D. National high School,"Ram Lakhan Path, Ashok nagar, Bhijpur Colony Road nO 8 K.Bagh patna (near Bypass)",800020,
M.G.M High School,"Ram Lakhan Path, Bhojpur Coloy, Road No. 8, Ashok Nagar, Patna",800020,
P.P Public School,"Ram Lakhan Path, Road No. 8, Ashok Nagar, Patna",800020,
Holy Mission Public  School,Ashok Nagar RamLakhan Path Patna-20,800020,School
Shirsti central school (Devendra Memorial),"Ashok nagar, Devendra Lane,  road no.8, Kankarbagh, Patna",800020,School
New Creative Convent ,"Indira Nagar,PostalPark K.Bagh,Patna",800020,
V.A. Public School,"Sanjay Nagar Main Road, Kankarbagh patna",800020,
Kishu Preparatory English School ,"Sanjay Nagar Road No 2, Kankarbagh Patna 20",800020,School
St. Agnes English School ,"Indira Nagar,PostalPark Road no4&9 K.Bagh,Patna",800001,School
New Patna Centeral School ,"South Indra Nagar Road No-9,P-1",800001,School
Sri Krishna Chandra Seminary,"S.K Chandra Lane,Bigrahpur,Jakanpur, Patna",800001,
Doon Public High School ,"Bank Colony Road No 4, Kankarbagh P-1",800020,School
Central School ,"Indra Nagar Park Road No-3 ,P-1",800001,School
S.M .Mission School ,"South West of Indra Nagar, Road No 1, Kankarbagh",800020,School
Shishu Vikash Vidayalaya ,"Indra Nagar Road No 1, Kankarbagh, Patna ",800027,School
Royal convent high school,"Bigrahpur,near Devi Asthan, Near New Bypass, Kbagh , Patna",0,
Saraswati Siksha Sadan ,"Bigrahpur Bypass Road , Patna",800027,School
Royal convent high school,Dayal Sadan Ram nagar road chiraiya tard patna,800001,School
Bright career school,"Karbighaiya, (near Mithapur New bus stand) patna",800001,School
saraswati shiksha niketan,"Main Road, Near pul, Karbighaiya patna",800001,School
Natural Abhyash academy,North chandmari road kankerbagh patna,800020,School
S.P Memorial Public School,North chandmari road kankerbagh patna,800020,
L.S academy High School,Chand mari road gali no.1 patna,800020,
Subham convent,"Chand mari road gali no.3, Kankarbagh, patna",800020,School
City Centre Public School,North chandmari road kankerbagh patna,800020,
St. Marx academy,Chandmuri road kankarbagh,800001,School
Saraswati Vidya Mandir,Azad nagar road no.1 kankaerbagh,800020,School
S.V.D Convent,"Ashok nagar,Road No 1F, k.bagh patna",800020,
Juniour St.Xaviour school,"Ashok Nagar,Road no-1",800020,
Indira's convent,"1/49, Road No.- 7, Ashok nagar, K Bagh, Patna",800001,School
Patna st.michales high school,Ashok nagar road no.3 kankerbagh patna,800020,School
Rotary public high school,Ashok nagar road no.3 kankerbagh patna,800020,School
Paras academy,Ashok nagar road no.3 kankerbagh patna,800020,School
Vishal International Convent,Ashok nagar main road no.1 near dwarika college,800020,
Shishu Gyan Mandir ,"Ashok Nagar Road No. 2, Near Dwarka College, Kankerbagh, Patna",800020,
Anand International school,"Chiraya tard, Kankarbagh, patna",800001,School
New Sacred High School,"Khash Mahal,Chiriyatad, Kbagh, patna",800020,
R.P Residensial public School,"Ram Nagar Road,Patna.",800001,
A.N. Modern Public School ,"Ram Krishana Nagar Near Bypass (east of Telephone Exchange,) New Jaganpura",800020,School
Holy Faith International Public School,"Shivaji Chowk,Ram Krishna Nagar, Near New bypass, Patna",800020,
Patna Convent ,Shiva Jee Chowk R.K.Nagar K.Bagh Patna-27,800027,School
Maurya Public High School ,"Divaya Colony R.K.Nagar , Patna P-27",800027,School
Gyan Sagar ,"R.K. Nagar P-20, Shekpura Road ",800027,School
Rajeev Gandhi International school ,"Ram Krishana Nagar, Shekpura Road (side Gali ,P-20",800020,School
Elite Public School ,"Ram Krishana Nagar, Near Bypass ,Patna",800027,School
Adarsh Gyan Niketan,"Ram krishna Nagar, Mother teresa Path, Patna",800027,
Pragati Misson School ,Agriculural Researchh Institute Near Mittapur,800020,School
Magadh Public school ,"Surbvi Vihar ,Near Agriculture Research,  Patna",800020,School
St. Xavier's School,"Bhupati Pur, Thakurbari Road, Patna, Near Bypass, Patna",800020,
Arti shishu pathshaala (Behenji Ka Pathshala),"New karbighiya, Opp Junction Second Gate, Patna",800001,School
Jesus children school,"Karbighaiya Main Road, Near Hamraj band, patna",800001,School
Vatsalya Niketan,"Chandmari Road,Ajad Path ,patna",800020,School
Patna public school,"Tarkeshwar Nath Path, chiraya tard patna",800001,School
R.K Residential Public School,"Buddha Nagar, Nala Road - Postal Park, Kankerbagh, Patna",800020,
New Doon Kids Paradise School ,"Near Postel park Chauraha, Kankar bagh Patna",800001,
Anand marga School,"Postal Park Road no. 1, Near Auto Stand, K.Bagh Patna",800020,School
