Rajdhani Public School,Nur.,10,Bhaisai tola near ram janki thakurbari Begampur,800009,English,Unecognised,Private unaided,Low Cost
Jagriti English School,Nur.,6,dahuchak nagla sahganj patnacity,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Shri Ram Janki Gyan Niketan School,Nur.,5,Naash nawab ganj patna,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Ideal Covent School,Nur.,7,mansoor ganj bhaisani tola patna city,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Gaurav Saurav English School,Nur.,5,Begumpur Patna City,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Ram Parwesh Gyan Niketan English School,Nur.,7,Near Nand Gola Patna City,800008,English and Hindi,Unecognised,Private unaided,Low Cost
Shishu Jagriti English School,Nur.,7,Nakash devi sthan nawabganj patna city,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Feather Touch,Nur.,7,"New Azimabad Coloney, Patna",8000006,English,Unecognised,Private unaided,Affordable
Noorul Huda Girls High School,Nur.,9,Noorani Bagh Coloney Ashok Rajpath Patna,800007,Hindi,Unecognised,Private unaided,Low Cost
Sacred Heart School,Nur.,3,Chirstian Coloney Kurji Patna,800010,English,Unecognised,Private unaided,Low Cost
Master Mind International School,Nur.,10,Kurji Kothiya Vikash Nagar Patna,800010,English,Unecognised,Private unaided,Low Cost
International Berstal High School,Nur.,8,Kurji Balupar Patna,800010,English,Unecognised,Private unaided,Low Cost
Rashtriya Vikash High School,Nur.,6,Proffesor Colony Don Bosco Road Hanuman Mandir ke Peeche Digha,800011,English,Unecognised,Private unaided,Low Cost
N.K.Jha Academy,Nur.,7,Chandra Vihar Coloney Ashinaya Main Road Patna,800025,English,Unecognised,Private unaided,Low Cost
P.C.S.School,Nur.,5,Jay Prakash Nagar Ashina Nagar,800025,English,Unecognised,Private unaided,Low Cost
Brain Samart Wizd Kids,1,5,Jai Prakash Nagar Ashiyana Digha Road Patna,800023,English,Unecognised,Private unaided,Affordable
National Public School,Nur.,7,Vir Kunwar Singh Nagar Patna,800024,English,Unecognised,Private unaided,Low Cost
Siddarth Academy,Nur.,8,Keshri Nagar Veer Kunwar Singh Chok Patna,800025,English,Recognised,Private unaided,Affordable
F.C.C. Secondary School,Nur.,6,Keshri Nagar Veer Kunwar Singh Chok Patna,800024,English,Unecognised,Private unaided,Low Cost
Gyandeep Public School,Nur.,10,Digha thana patna,800013,English,Unecognised,Private unaided,Higher Cost
Dr. Ambedkar Acadmey,Nur.,8,Digha thana patna,800018,English and Hindi,Unecognised,Private unaided,Low Cost
Modern Children Acadmey,Nur.,5,digha thana patna,800018,English and Hindi,Unecognised,Private unaided,Low Cost
Ideal Public High School,Nur.,8,Digha thana patna,800013,English and Hindi,Unecognised,Private unaided,Low Cost
St. John`s Public School,Nur.,8,"Khajpura cannara bank back, v.b college",800014,English and Hindi,Unecognised,Private unaided,Low Cost
Chitragupt Public School,Nur.,8,Khajpura Near brahmsthan ,800014,English,Unecognised,Private unaided,Low Cost
Bal Sanskar,Nur.,8,khajpura Nerar Brahmstan,800014,English,Unecognised,Private unaided,Low Cost
Pioneer  School,Nur.,10,khajpura Nerar Brahmstan,800014,English,Unecognised,Private unaided,Low Cost
Glamour High School,Nur.,10,BMP road vv collge airpor ,800014,English,Unecognised,Private unaided,Low Cost
Rivendale Academy,Nur.,6,Khaspura Bailey Road Patna,800014,English and Hindi,Unecognised,Private unaided,Low Cost
Preasidency Public School,Nur.,10,Khaspura Bailey Road Patna,800014,English,Unecognised,Private unaided,Higher Cost
Gyan Joyti Public School,Nur.,10,Khas pur behind Shiv Mandir  Patna,800014,English and Hindi,Unecognised,Private unaided,Low Cost
Apex Public School,1,10,Birla Coloney Khalilpura Patna,800005,English,Unecognised,Private unaided,Low Cost
Gyan Shishu Public School,Nur.,10,F.C.J Road Patna,800005,English and Hindi,Unecognised,Private unaided,Low Cost
Delhi Republic School,Nur.,7,Subhash Pura Khagoul Road Patna,800005,English,Unecognised,Private unaided,Affordable
West Point High School,Nur.,12,khajpura bailey rooad,800014,English,Recognised,Private unaided,Higher Cost
Kalyani English School,1,6,Begumpur Patna City,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Royal Ceriral English School,Nur.,6,Begumpur Patna City,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Guide Line English School,Nur.,6,Begampur Patna City,800009,English and Hindi,Unecognised,Private unaided,Low Cost
Mother Memorial Public School,Nur.,6,Bahri Begumpur Akhara par Patna City,800020,English and Hindi,Unecognised,Private unaided,Low Cost
Vidyatan School,Nur.,5,Begampur Patna City,800008,English and Hindi,Unecognised,Private unaided,Low Cost
Blessed Mother Teressa High School,Nur.,10,"Baalupaar, Near Kurji Pul",800010,English and Hindi,Unecognised,Private unaided,Affordable
Honey Dew Point School,Nur.,8,Dariyapur Gola Road Patna,800003,English and Hindi,Unecognised,Private unaided,Affordable
Mount Everest School,Nur.,5,"Baalupaar, Near Kurji Pul",800010,English and Hindi,Unecognised,Private unaided,Low Cost
S.V.N High School,Nur.,5,"Baalupaar, Near Kurji Pul",800010,English,Unecognised,Private unaided,Low Cost
Dev Public School,Nur.,12,West Patel Nagar Patna,800023,English,Unecognised,Private unaided,Higher Cost
Daniel Defoe Academey,Nur.,5,A.G.Coloney Patna,800024,English and Hindi,Unecognised,Private unaided,Higher Cost
Christian Eminent Academy,Nur.,8,XTTI Digha Patna,800011,English,Unecognised,Private unaided,Low Cost
Madrasa Tahfijul Kuran Danel Yatana,Nur.,5,Digha Ghat Patna,800011,English and Hindi,Unecognised,Private unaided,
New Marigold Public School,Nur.,5,Balupar Near Bank Coloney Kurji Patna,800010,English,Unecognised,Private unaided,Low Cost
Hartman Girls High School,6,12,Digha Ghat Patna,800011,Hindi,Recognised,Private unaided,Affordable
Pheonix International School,Nur.,5,Makhdumpur Patna,800011,English,Unecognised,Private unaided,Affordable
ST. B.L. High School,Nur.,10,Ashiyana Road Digh Ghat Patna,800011,English,Unecognised,Private unaided,Low Cost
Adarash Bal Vidalay,Nur.,8,Digha Ghat Patna,800011,Hindi,Unecognised,Private unaided,Low Cost
Progressive Children Academy,Nur.,8,Digha Ghat XTTI Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
ST. Paul Chiristion Academy,Nur.,5,Yadav Lane XTTi Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
Royal Bangal Public High School,Nur.,8,Patipul Digha Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
